state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
WI,1598748068483,BROWN COUNTY WORK RELEASE CENTER,Traditional Collect,true,6082661212,$0.000,$0.290,$0.290,$0.290,false,null,$0.000
WI,1598748068483,BROWN COUNTY WORK RELEASE CENTER,Traditional Collect,false,7177872500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748068483,BROWN COUNTY WORK RELEASE CENTER,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748068483,BROWN COUNTY WORK RELEASE CENTER,Voicemail,false,7177872500,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,AdvancedConnect,true,6082661212,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,AdvancedConnect,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Direct Bill,true,6082661212,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Direct Bill,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Inmate Debit,true,6082661212,$0.000,$2.820,$0.320,$2.820,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Inmate Debit,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Traditional Collect,true,6082661212,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Traditional Collect,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748072802,CHIPPEWA COUNTY SHERIFF DEPT,Voicemail,false,5033784582,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,AdvancedConnect,true,6082661212,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,AdvancedConnect,false,7013282200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Direct Bill,true,6082661212,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Direct Bill,false,7013282200,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Inmate Debit,true,6082661212,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Inmate Debit,false,7013282200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Traditional Collect,true,6082661212,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Traditional Collect,false,7013282200,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748077153,COLUMBIA COUNTY JAIL,Voicemail,false,7013282200,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,AdvancedConnect,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,AdvancedConnect,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Direct Bill,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Direct Bill,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Inmate Debit,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Inmate Debit,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Traditional Collect,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Traditional Collect,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748080940,EAU CLAIRE COUNTY JAIL,Voicemail,false,5033784582,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,AdvancedConnect,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,AdvancedConnect,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Direct Bill,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Direct Bill,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Inmate Debit,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Inmate Debit,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Traditional Collect,true,6082661212,$0.000,$0.750,$0.750,$0.750,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Traditional Collect,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748085080,EAU CLAIRE COUNTY JAIL - MAIN,Voicemail,false,5737513222,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,AdvancedConnect,true,6082661212,$0.000,$4.640,$0.690,$4.640,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,AdvancedConnect,false,7177872500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Direct Bill,true,6082661212,$0.000,$4.640,$0.690,$4.640,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Direct Bill,false,7177872500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Inmate Debit,true,6082661212,$0.000,$3.000,$0.500,$3.000,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Inmate Debit,false,7177872500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Traditional Collect,true,6082661212,$0.000,$4.640,$0.690,$4.640,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Traditional Collect,false,7177872500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748089037,GREEN COUNTY SHERIFF'S DEPT,Voicemail,false,7177872500,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,AdvancedConnect,true,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,AdvancedConnect,false,5054762200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Direct Bill,true,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Direct Bill,false,5054762200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748093296,JACKSON COUNTY JAIL,Inmate Debit,true,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
