state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AZ,1598737885041,COCHISE COUNTY WILLCOX,Inmate Debit,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Inmate Debit,false,5173733400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Traditional Collect,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Traditional Collect,false,5173733400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Voicemail,false,5173733400,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,AdvancedConnect,true,6025424331,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,AdvancedConnect,false,8037342100,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Direct Bill,true,6025424331,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Direct Bill,false,8037342100,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Inmate Debit,true,6025424331,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Inmate Debit,false,8037342100,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Traditional Collect,true,6025424331,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Traditional Collect,false,8037342100,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737890056,PINAL COUNTY,Voicemail,false,8037342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,AdvancedConnect,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,AdvancedConnect,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Direct Bill,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Direct Bill,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Inmate Debit,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Inmate Debit,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Traditional Collect,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Traditional Collect,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737895168,PINAL COUNTY ATTORNEY, AZ,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
