state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MI,1598744379878,ARENAC COUNTY JAIL,Traditional Collect,true,5173733400,$0.000,$5.110,$0.690,$5.110,false,null,$0.000
MI,1598744379878,ARENAC COUNTY JAIL,Traditional Collect,false,8037342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1598744379878,ARENAC COUNTY JAIL,Voicemail,true,5173733400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MI,1598744379878,ARENAC COUNTY JAIL,Voicemail,false,8037342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,AdvancedConnect,true,5173733400,$0.000,$5.110,$0.690,$5.110,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,AdvancedConnect,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Direct Bill,true,5173733400,$0.000,$5.110,$0.690,$5.110,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Direct Bill,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Inmate Debit,true,5173733400,$0.000,$5.110,$0.690,$5.110,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Inmate Debit,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Traditional Collect,true,5173733400,$0.000,$5.110,$0.690,$5.110,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Traditional Collect,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Voicemail,true,5173733400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MI,1598744383559,BAY COUNTY LAW ENFORCEMENT CENTER,Voicemail,false,8028283333,$0.000,$1.500,$0.000,$1.500,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,AdvancedConnect,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,AdvancedConnect,false,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Direct Bill,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Direct Bill,false,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Inmate Debit,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Inmate Debit,false,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Traditional Collect,true,5173733400,$0.000,$0.910,$0.910,$0.910,false,null,$0.000
MI,1598744387604,BENZIE COUNTY SHERIFF'S DEPT,Traditional Collect,false,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
